Feature,Exists-Software,Exists-ForkManager,Needs-Merge
Check for updates,Yes,No,Yes
Download update,Yes,No,Yes
Install update,Yes,No,Yes
Uninstall software,Yes,No,Yes
Branch selection,Yes,Yes,No
List forks,No,Yes,Yes
Fork swap (Drive),No,Yes,Yes
Fork update,No,Yes,Yes
Fork delete,No,Yes,Yes
Fork undo,No,Yes,Yes
Fork self-update (FM CLI),No,Yes,Yes
Install new fork,No,Yes,Yes
Profile select,No,Yes,Yes
Profile backup,No,Yes,Yes
Profile restore,No,Yes,Yes
Self-update toggle,No,Yes,Yes
Auto-backup toggle,No,Yes,Yes
Advanced logs toggle,No,Yes,Yes
Backup history limit,No,Yes,Yes
Log view + Clear Log,No,Yes,Yes
Help/About buttons,No,Yes,Yes
